#Time	#Base_RX	#Fail_RX	#Res_RX
1	0	0	0
2	1108781	698238	672754
3	1206556	1207055	1207280
4	1206601	1206713	1207036
5	1207241	1207140	1207500
6	1206794	1207491	1207044
7	1206321	1207281	1207006
8	1206975	1207292	1206827
9	1207188	1207174	1206722
10	1207302	1207184	1207674
11	1206982	1206696	1207779
12	1206813	1207635	1206979
13	1206650	1207325	1207233
14	1206861	1207090	1207218
15	1206974	1206946	1207409
16	1206897	1206808	1207214
17	1206888	1206962	1207471
18	1206820	1206811	1207054
19	1206784	1206856	1207010
20	1207067	1206964	1206971
21	1206937	1206978	1207140
22	1207111	1207041	1207155
23	1206637	1207108	1206929
24	1207100	1207349	1207095
25	1206980	1207252	1207003
26	1205191	1207169	1206781
27	1207232	1206651	1206963
28	1206903	1207231	1206876
29	1206824	1207330	1207304
30	1206845	542673	1203256
31	1206641	0	1207066
32	1206959	0	1206986
33	1206942	0	1207036
34	1206680	0	1206586
35	1207509	0	1206906
36	1206930	0	1207344
37	1207673	0	1207053
38	1207102	0	1206706
39	1207117	0	1207105
40	1207256	0	1206917
41	1207859	0	1206937
42	1206890	0	1207016
43	1207178	0	1207256
44	1206956	0	1207398
45	1206869	0	1207087
46	1206987	0	1207620
47	1206498	0	1207470
48	1207049	0	1207351
49	1207333	0	1207463
50	1206917	0	1207417
51	1206805	0	1207287
52	1207518	0	1207311
53	1206972	0	1207352
54	1207675	0	1207345
55	1206952	0	1206908
56	1207296	0	1206629
57	1207067	0	1207061
58	1206727	0	1206880
59	1207124	0	1082865
			
			
			
			
			
			
			
		
